Lighting Day
Music Play
BackgroundType Background1
Background Sky     0 1.25 1.5  640 384
Background Stars   0 1.25 1.65 640 384
Background SkyObj  1 1    1    640 200 0.85
Background Hill    1 1.25 1.75 640 554 0.50
Background Rock    1 1    1    640 584 0.10
Background Land    1 1.25 1    640 717 0.02
Background Craters 1 1    1    640 717 0.01
Player 1 3 46 70 5 -20 20 0.75
Tile Plat 0 0 1 1 0 0
Tile Plat 1 0 1 1 0 0
Tile Plat 2 0 1 1 0 0
Tile Plat 3 0 1 1 0 0
Tile Plat 4 0 1 1 0 0
Tile Plat 5 0 1 1 0 0
Tile Plat 6 0 1 1 0 0
Tile Plat 7 0 1 1 0 0
Tile Plat 8 0 1 1 0 0
Tile Plat 9 0 1 1 0 0
Tile Plat 10 0 1 1 0 0
Tile Plat 11 0 1 1 0 0
Tile Plat 12 0 1 1 0 0
Tile Plat 13 0 1 1 0 0
Tile Plat 14 0 1 1 0 0
Tile Plat 15 0 1 1 0 0
Tile Plat 16 0 1 1 0 0
Tile Plat 17 0 1 1 0 0
Tile Plat 18 0 1 1 0 0
Tile Plat 19 0 1 1 0 0
Tile Plat 20 0 1 1 0 0
Tile Plat 21 0 1 1 0 0
Tile Plat 22 0 1 1 0 0
Tile Plat 23 0 1 1 0 0
Tile Plat 24 0 1 1 0 0
Tile Plat 25 0 1 1 0 0
Tile Plat 26 0 1 1 0 0
Tile Plat 27 0 1 1 0 0
Tile Plat 28 0 1 1 0 0
Tile Plat 29 0 1 1 0 0
Tile Plat 30 0 1 1 0 0
Tile Plat 31 0 1 1 0 0
Tile Plat 32 0 1 1 0 0
Tile Plat 33 0 1 1 0 0
Tile Plat 34 0 1 1 0 0
Tile Plat 35 0 1 1 0 0
Tile Plat 36 0 1 1 0 0
Tile Plat 37 0 1 1 0 0
Tile Plat 38 0 1 1 0 0
Tile Plat 39 0 1 1 0 0
Tile Plat 40 0 1 1 0 0
Tile Plat 41 0 1 1 0 0
Tile Plat 42 0 1 1 0 0
Tile Plat 43 0 1 1 0 0
Tile Plat 44 0 1 1 0 0
Tile Plat 45 0 1 1 0 0
Tile Plat 46 0 1 1 0 0
Tile Plat 47 0 1 1 0 0
Tile Plat 48 0 1 1 0 0
Tile Plat 49 0 1 1 0 0
Tile Plat 50 0 1 1 0 0
Tile Plat 51 0 1 1 0 0
Tile Plat 52 0 1 1 0 0
Tile Plat 53 0 1 1 0 0
Tile Plat 54 0 1 1 0 0
Tile Plat 55 0 1 1 0 0
Tile Plat 56 0 1 1 0 0
Tile Plat 57 0 1 1 0 0
Tile Plat 58 0 1 1 0 0
Tile Plat 59 0 1 1 0 0
Tile Plat 60 0 1 1 0 0
Tile Plat 61 0 1 1 0 0
Tile Plat 62 0 1 1 0 0
Tile Plat 63 0 1 1 0 0
Tile Plat 64 0 1 1 0 0
Tile Plat 65 0 1 1 0 0
Tile Plat 66 0 1 1 0 0
Tile Plat 67 0 1 1 0 0
Tile Plat 68 0 1 1 0 0
Tile Plat 69 0 1 1 0 0
Tile Plat 70 0 1 1 0 0
Tile Plat 71 0 1 1 0 0
Tile Plat 72 0 1 1 0 0
Tile Plat 73 0 1 1 0 0
Tile Plat 74 0 1 1 0 0
Tile Plat 75 0 1 1 0 0
Tile Plat 76 0 1 1 0 0
Tile Plat 77 0 1 1 0 0
Tile Plat 78 0 1 1 0 0
Tile Plat 79 0 1 1 0 0
Tile Plat 80 0 1 1 0 0
Tile Plat 81 0 1 1 0 0
Tile Plat 82 0 1 1 0 0
Tile Plat 83 0 1 1 0 0
Tile Plat 84 0 1 1 0 0
Tile Plat 85 0 1 1 0 0
Tile Plat 86 0 1 1 0 0
Tile Plat 87 0 1 1 0 0
Tile Plat 88 0 1 1 0 0
