Lighting Day
Music Play
BackgroundType Background2
Background Sky2     0 1.25 1.5  640 384
Background Stars   0 1.25 1.65 640 384
Background SkyObj2  1 1    1    640 200 0.85
Background Hill2    1 1.25 1.75 640 554 0.50
Background Rock2    1 1    1    640 584 0.10
Background Land2    1 1.25 1    640 717 0.02
Background Craters2 1 1    1    640 717 0.01
Player 4 2 46 70 5 -20 20 0.75
Tile Plat 6 10 1 1 0 0
Tile Plat 7 10 1 1 0 0
Tile Plat 2 10 1 1 0 0
Tile Plat 1 10 1 1 0 0
Tile Plat 1 11 1 1 0 0
Tile Plat 1 12 1 1 0 0
Tile Plat 1 13 1 1 0 0
Tile Plat 1 14 1 1 0 0
Tile Plat 1 15 1 1 0 0
Tile Plat 1 16 1 1 0 0
Tile Plat 1 17 1 1 0 0
Tile Plat 1 18 1 1 0 0
Tile Plat 8 10 1 1 0 0
Tile Plat 9 10 1 1 0 0
Tile Plat 10 10 1 1 0 0
Tile Plat 11 10 1 1 0 0
Tile Plat 12 10 1 1 0 0
Tile Plat 13 10 1 1 0 0
Tile Plat 1 19 1 1 0 0
Tile Plat 2 19 1 1 0 0
Tile Plat 3 19 1 1 0 0
Tile Plat 4 19 1 1 0 0
Tile Plat 5 19 1 1 0 0
Tile Plat 6 19 1 1 0 0
Tile Plat 7 19 1 1 0 0
Tile Plat 8 19 1 1 0 0
Tile Plat 9 19 1 1 0 0
Tile Plat 10 19 1 1 0 0
Tile Plat 11 19 1 1 0 0
Tile Plat 12 19 1 1 0 0
Tile Plat 13 19 1 1 0 0
Tile Plat 14 10 1 1 0 0
Tile Plat 15 10 1 1 0 0
Tile Plat 16 10 1 1 0 0
Tile Plat 14 19 1 1 0 0
Tile Plat 15 19 1 1 0 0
Tile Plat 16 19 1 1 0 0
Tile Plat 10 11 1 1 0 0
Tile Plat 11 11 1 1 0 0
Tile Plat 12 11 1 1 0 0
Tile Plat 17 10 1 1 0 0
Tile Plat 18 10 1 1 0 0
Tile Plat 19 10 1 1 0 0
Tile Plat 20 10 1 1 0 0
Tile Plat 21 10 1 1 0 0
Tile Plat 17 19 1 1 0 0
Tile Plat 18 19 1 1 0 0
Tile Plat 19 19 1 1 0 0
Tile Plat 20 19 1 1 0 0
Tile Plat 21 19 1 1 0 0
Tile Plat 11 12 1 1 0 0
Tile Plat 12 12 1 1 0 0
Tile Plat 22 10 1 1 0 0
Tile Plat 23 10 1 1 0 0
Tile Plat 22 19 1 1 0 0
Tile Plat 23 19 1 1 0 0
Tile Plat 23 11 1 1 0 0
Tile Plat 23 12 1 1 0 0
Tile Plat 23 13 1 1 0 0
Tile Plat 23 14 1 1 0 0
Tile Plat 23 15 1 1 0 0
Tile Plat 24 15 1 1 0 0
Tile Plat 25 15 1 1 0 0
Tile Plat 26 15 1 1 0 0
Tile Plat 27 15 1 1 0 0
Tile Plat 24 19 1 1 0 0
Tile Plat 25 19 1 1 0 0
Tile Plat 26 19 1 1 0 0
Tile Plat 27 19 1 1 0 0
Tile Plat 27 20 1 1 0 0
Tile Plat 27 21 1 1 0 0
Tile Plat 27 22 1 1 0 0
Tile Plat 27 23 1 1 0 0
Tile Plat 27 24 1 1 0 0
Tile Plat 27 25 1 1 0 0
Tile Plat 27 26 1 1 0 0
Tile Plat 27 27 1 1 0 0
Tile Plat 27 14 1 1 0 0
Tile Plat 27 13 1 1 0 0
Tile Plat 27 12 1 1 0 0
Tile Plat 28 12 1 1 0 0
Tile Plat 29 12 1 1 0 0
Tile Plat 30 12 1 1 0 0
Tile Plat 31 12 1 1 0 0
Tile Plat 32 12 1 1 0 0
Tile Plat 32 13 1 1 0 0
Tile Plat 32 14 1 1 0 0
Tile Plat 32 15 1 1 0 0
Tile Plat 32 16 1 1 0 0
Tile Plat 32 17 1 1 0 0
Tile Plat 32 18 1 1 0 0
Tile Plat 32 19 1 1 0 0
Tile Plat 32 20 1 1 0 0
Tile Plat 32 21 1 1 0 0
Tile Plat 32 22 1 1 0 0
Tile Plat 27 28 1 1 0 0
Tile Plat 28 28 1 1 0 0
Tile Plat 29 28 1 1 0 0
Tile Plat 30 28 1 1 0 0
Tile Plat 31 28 1 1 0 0
Tile Plat 32 28 1 1 0 0
Tile Plat 33 28 1 1 0 0
Tile Plat 34 28 1 1 0 0
Tile Plat 35 28 1 1 0 0
Tile Plat 36 28 1 1 0 0
Tile Plat 37 28 1 1 0 0
Tile Plat 37 27 1 1 0 0
Tile Plat 37 26 1 1 0 0
Tile Plat 37 25 1 1 0 0
Tile Plat 37 24 1 1 0 0
Tile Plat 37 23 1 1 0 0
Tile Plat 37 22 1 1 0 0
Tile Plat 37 21 1 1 0 0
Tile Plat 37 20 1 1 0 0
Tile Plat 37 19 1 1 0 0
Tile Plat 37 18 1 1 0 0
Tile Plat 37 17 1 1 0 0
Tile Plat 37 16 1 1 0 0
Tile Plat 37 15 1 1 0 0
Tile Plat 37 14 1 1 0 0
Tile Plat 37 13 1 1 0 0
Tile Plat 37 12 1 1 0 0
Tile Plat 37 11 1 1 0 0
Tile Plat 37 10 1 1 0 0
Tile Plat 37 9 1 1 0 0
Tile Plat 32 11 1 1 0 0
Tile Plat 32 10 1 1 0 0
Tile Plat 32 9 1 1 0 0
Tile Plat 32 8 1 1 0 0
Tile Plat 31 8 1 1 0 0
Tile Plat 31 7 1 1 0 0
Tile Plat 31 6 1 1 0 0
Tile Plat 31 5 1 1 0 0
Tile Plat 31 4 1 1 0 0
Tile Plat 32 4 1 1 0 0
Tile Plat 33 4 1 1 0 0
Tile Plat 34 4 1 1 0 0
Tile Plat 35 4 1 1 0 0
Tile Plat 36 4 1 1 0 0
Tile Plat 37 4 1 1 0 0
Tile Plat 38 4 1 1 0 0
Tile Plat 38 9 1 1 0 0
Tile Plat 39 9 1 1 0 0
Tile Plat 40 9 1 1 0 0
Tile Plat 41 9 1 1 0 0
Tile Plat 39 4 1 1 0 0
