Lighting Day
Music Play
BackgroundType Background1
Background Sky     0 1.25 1.5  640 384
Background Stars   0 1.25 1.65 640 384
Background SkyObj  1 1    1    640 200 0.85
Background Hill    1 1.25 1.75 640 554 0.50
Background Rock    1 1    1    640 584 0.10
Background Land    1 1.25 1    640 717 0.02
Background Craters 1 1    1    640 717 0.01
Player 2 3 46 70 6 -20 20 0.75
Tile Plat 0 2 1 1 0 0
Tile Plat 1 2 1 1 0 0
Tile Plat 2 2 1 1 0 0
Tile Plat 3 2 1 1 0 0
Tile Plat 4 1 1 1 0 0
Tile Plat 5 0 1 1 0 0
Tile Plat 0 3 1 1 0 0
Tile Plat 0 4 1 1 0 0
Tile Plat 0 5 1 1 0 0
Tile Plat 0 6 1 1 0 0
Tile Plat 0 7 1 1 0 0
Tile Plat 0 8 1 1 0 0
Tile Plat 0 9 1 1 0 0
Tile Plat 0 10 1 1 0 0
Tile Plat 0 11 1 1 0 0
Tile Plat 0 12 1 1 0 0
Tile Plat 1 12 1 1 0 0
Tile Plat 2 12 1 1 0 0
Tile Plat 3 12 1 1 0 0
Tile Plat 4 12 1 1 0 0
Tile Plat 5 12 1 1 0 0
Tile Plat 6 12 1 1 0 0
Tile Plat 7 12 1 1 0 0
Tile Plat 8 12 1 1 0 0
Tile Plat 9 12 1 1 0 0
Tile Plat 10 12 1 1 0 0
Tile Plat 11 12 1 1 0 0
Tile Plat 12 12 1 1 0 0
Tile Plat 13 12 1 1 0 0
Tile Plat 14 12 1 1 0 0
Tile Plat 15 12 1 1 0 0
Tile Plat 16 12 1 1 0 0
Tile Plat 17 12 1 1 0 0
Tile Plat 18 12 1 1 0 0
Tile Plat 19 12 1 1 0 0
Tile Plat 6 0 1 1 0 0
Tile Plat 7 0 1 1 0 0
Tile Plat 8 0 1 1 0 0
Tile Plat 9 0 1 1 0 0
Tile Plat 10 0 1 1 0 0
Tile Plat 11 0 1 1 0 0
Tile Plat 12 0 1 1 0 0
Tile Plat 13 0 1 1 0 0
Tile Plat 14 0 1 1 0 0
Tile Plat 15 0 1 1 0 0
Tile Steel 15 1 1 1 0 0
Tile Steel 16 2 1 1 0 0
Tile Steel 17 3 1 1 0 0
Tile Steel 18 4 1 1 0 0
Tile SpikeDown 1 11 1 1 1 0
Tile SpikeDown 2 11 1 1 1 0
Tile SpikeDown 3 11 1 1 1 0
Tile SpikeDown 4 11 1 1 1 0
Tile SpikeDown 5 11 1 1 1 0
Tile SpikeDown 8 11 1 1 1 0
Tile SpikeDown 9 11 1 1 1 0
Tile SpikeDown 10 11 1 1 1 0
Tile SpikeDown 11 11 1 1 1 0
Tile SpikeDown 12 11 1 1 1 0
Tile SpikeDown 15 11 1 1 1 0
Tile SpikeDown 16 11 1 1 1 0
Tile SpikeDown 17 11 1 1 1 0
Tile SpikeDown 18 11 1 1 1 0
Tile SpikeDown 19 11 1 1 1 0
Tile WavyLeft 23 5 1 1 0 0
Tile WavyMid 24 5 1 1 0 0
Tile WavyMid 25 5 1 1 0 0
Tile WavyMid 26 5 1 1 0 0
Tile WavyMid 27 5 1 1 0 0
Tile WavyMid 28 5 1 1 0 0
Tile WavyMid 29 5 1 1 0 0
Tile WavyRight 30 5 1 1 0 0
Tile Plat 20 15 1 1 0 0
Tile Plat 21 15 1 1 0 0
Tile Plat 22 15 1 1 0 0
Tile Plat 23 15 1 1 0 0
Tile Plat 24 15 1 1 0 0
Tile Plat 25 15 1 1 0 0
Tile Plat 26 15 1 1 0 0
Tile Plat 27 15 1 1 0 0
Tile Plat 28 15 1 1 0 0
Tile Plat 29 15 1 1 0 0
Tile Plat 30 15 1 1 0 0
Tile Plat 31 15 1 1 0 0
Tile Plat 32 15 1 1 0 0
Tile Plat 33 15 1 1 0 0
Tile Plat 34 15 1 1 0 0
Tile Plat 35 15 1 1 0 0
Tile Plat 36 15 1 1 0 0
Tile SpikeDown 20 14 1 1 1 0
Tile SpikeDown 36 14 1 1 1 0
Tile SpikeDown 28 14 1 1 1 0
Tile WavyLeft 34 8 1 1 0 0
Tile WavyMid 35 8 1 1 0 0
Tile WavyMid 43 3 1 1 0 0
Tile WavyLeft 42 3 1 1 0 0
Tile WavyMid 44 3 1 1 0 0
Tile WavyMid 45 3 1 1 0 0
Tile WavyMid 46 3 1 1 0 0
Tile WavyMid 47 3 1 1 0 0
Tile WavyMid 48 3 1 1 0 0
Tile WavyMid 49 3 1 1 0 0
Tile WavyMid 50 3 1 1 0 0
Tile WavyMid 51 3 1 1 0 0
Tile WavyRight 52 3 1 1 0 0
Tile Plat 37 14 1 1 0 0
Tile Plat 37 13 1 1 0 0
Tile Plat 38 13 1 1 0 0
Tile Plat 39 13 1 1 0 0
Tile Plat 40 13 1 1 0 0
Tile Plat 41 13 1 1 0 0
Tile Plat 42 13 1 1 0 0
Tile Plat 43 13 1 1 0 0
Tile Plat 44 13 1 1 0 0
Tile Plat 45 13 1 1 0 0
Tile Plat 46 13 1 1 0 0
Tile Plat 47 13 1 1 0 0
Tile Plat 48 13 1 1 0 0
Tile Plat 49 13 1 1 0 0
Tile Plat 50 13 1 1 0 0
Tile Plat 51 13 1 1 0 0
Tile Plat 52 13 1 1 0 0
Tile Plat 55 3 1 1 0 0
Tile Plat 56 3 1 1 0 0
Tile Plat 57 3 1 1 0 0
Tile Plat 58 3 1 1 0 0
Tile Plat 59 3 1 1 0 0
Tile Plat 60 3 1 1 0 0
Tile Plat 61 3 1 1 0 0
Tile Plat 62 3 1 1 0 0
Tile Plat 63 3 1 1 0 0
Tile Plat 64 3 1 1 0 0
Tile Plat 65 3 1 1 0 0
Tile Plat 66 3 1 1 0 0
Tile Plat 53 13 1 1 0 0
Tile Plat 54 13 1 1 0 0
Tile Plat 55 13 1 1 0 0
Tile Plat 56 13 1 1 0 0
Tile Plat 57 13 1 1 0 0
Tile Plat 58 13 1 1 0 0
Tile Plat 59 13 1 1 0 0
Tile Plat 60 13 1 1 0 0
Tile Plat 61 13 1 1 0 0
Tile Plat 62 13 1 1 0 0
Tile Plat 63 13 1 1 0 0
Tile Plat 64 13 1 1 0 0
Tile Plat 65 13 1 1 0 0
Tile Plat 66 13 1 1 0 0
Tile SpikeUp 55 4 1 1 1 0
Tile SpikeUp 56 4 1 1 1 0
Tile SpikeUp 57 4 1 1 1 0
Tile SpikeUp 58 4 1 1 1 0
Tile SpikeUp 59 4 1 1 1 0
Tile SpikeUp 60 4 1 1 1 0
Tile SpikeUp 61 4 1 1 1 0
Tile SpikeUp 62 4 1 1 1 0
Tile SpikeUp 63 4 1 1 1 0
Tile SpikeUp 64 4 1 1 1 0
Tile SpikeUp 65 4 1 1 1 0
Tile SpikeUp 66 4 1 1 1 0
Tile WavyMid 36 8 1 1 0 0
Tile WavyRight 37 8 1 1 0 0
Tile Plat 42 12 1 1 0 0
Tile Plat 37 12 1 1 0 0
Tile Plat 47 12 1 1 0 0
Tile Plat 52 12 1 1 0 0
Tile Plat 57 12 1 1 0 0
Tile Plat 62 12 1 1 0 0
