Lighting Night
Music Play
BackgroundType Background3
Background Sky     0 1.25 1.5  640 384
Background Stars   0 1.25 1.65 640 384
Background SkyObj2  1 1    1    640 200 0.85
Background Hill2    1 1.25 1.75 640 554 0.50
Background Rock    1 1    1    640 584 0.10
Background Land2    1 1.25 1    640 717 0.02
Background Craters2 1 1    1    640 717 0.01
Player 8 9 46 70 5 -20 20 -0.75
Tile Plat 0 10 1 1 0 0
Tile Plat 0 9 1 1 0 0
Tile Plat 0 8 1 1 0 0
Tile Plat 0 7 1 1 0 0
Tile Plat 0 6 1 1 0 0
Tile Plat 0 5 1 1 0 0
Tile Plat 0 4 1 1 0 0
Tile Plat 0 3 1 1 0 0
Tile Plat 2 11 1 1 0 0
Tile Plat 3 11 1 1 0 0
Tile Plat 4 11 1 1 0 0
Tile Plat 5 11 1 1 0 0
Tile Plat 6 11 1 1 0 0
Tile Plat 7 11 1 1 0 0
Tile Plat 8 11 1 1 0 0
Tile Plat 9 11 1 1 0 0
Tile Plat 10 11 1 1 0 0
Tile Plat 11 11 1 1 0 0
Tile Plat 12 11 1 1 0 0
Tile Plat 13 11 1 1 0 0
Tile Plat 14 11 1 1 0 0
Tile Plat 15 11 1 1 0 0
Tile Plat 16 11 1 1 0 0
Tile Plat 17 11 1 1 0 0
Tile Plat 1 3 1 1 0 0
Tile Plat 2 3 1 1 0 0
Tile Plat 3 3 1 1 0 0
Tile Plat 4 3 1 1 0 0
Tile Plat 5 3 1 1 0 0
Tile Plat 6 3 1 1 0 0
Tile Plat 7 3 1 1 0 0
Tile Plat 8 3 1 1 0 0
Tile Plat 9 3 1 1 0 0
Tile Plat 10 3 1 1 0 0
Tile Plat 11 3 1 1 0 0
Tile Plat 12 3 1 1 0 0
Tile Plat 13 3 1 1 0 0
Tile Plat 14 3 1 1 0 0
Tile Plat 15 3 1 1 0 0
Tile Plat 16 3 1 1 0 0
Tile Saw 1 10 0 1 20 2 2 1 10 39 10
Tile SpikeUp 7 4 1 1 3 0
Tile SpikeUp 6 4 1 1 3 0
Tile SpikeUp 5 4 1 1 3 0
Tile SpikeUp 4 4 1 1 3 0
Tile SpikeUp 3 4 1 1 3 0
Tile SpikeUp 2 4 1 1 3 0
Tile SpikeUp 8 4 1 1 3 0
Tile SpikeUp 9 4 1 1 3 0
Tile SpikeUp 10 4 1 1 3 0
Tile SpikeUp 11 4 1 1 3 0
Tile SpikeUp 12 4 1 1 3 0
Tile SpikeUp 13 4 1 1 3 0
Tile SpikeUp 14 4 1 1 3 0
Tile SpikeUp 15 4 1 1 3 0
Tile SpikeUp 16 4 1 1 3 0
Tile Plat 1 4 1 1 0 0
Tile Plat 18 11 1 1 0 0
Tile Plat 19 11 1 1 0 0
Tile Plat 20 11 1 1 0 0
Tile Plat 21 11 1 1 0 0
Tile Plat 22 11 1 1 0 0
Tile Plat 23 11 1 1 0 0
Tile Plat 24 11 1 1 0 0
Tile Plat 25 11 1 1 0 0
Tile Plat 26 11 1 1 0 0
Tile Plat 27 11 1 1 0 0
Tile Plat 28 11 1 1 0 0
Tile Plat 17 3 1 1 0 0
Tile Plat 18 3 1 1 0 0
Tile Plat 19 3 1 1 0 0
Tile Plat 20 3 1 1 0 0
Tile Plat 21 3 1 1 0 0
Tile Plat 22 3 1 1 0 0
Tile Plat 23 3 1 1 0 0
Tile Plat 24 3 1 1 0 0
Tile Plat 25 3 1 1 0 0
Tile Plat 26 3 1 1 0 0
Tile Plat 27 3 1 1 0 0
Tile Plat 28 3 1 1 0 0
Tile Plat 2 12 1 1 0 0
Tile Plat 2 13 1 1 0 0
Tile Plat 2 14 1 1 0 0
Tile Plat 2 15 1 1 0 0
Tile Plat 2 16 1 1 0 0
Tile Plat 2 17 1 1 0 0
Tile Plat 0 12 1 1 0 0
Tile Plat 0 13 1 1 0 0
Tile Plat 0 14 1 1 0 0
Tile Plat 0 15 1 1 0 0
Tile Plat 0 16 1 1 0 0
Tile Plat 0 17 1 1 0 0
Tile Plat 0 18 1 1 0 0
Tile Plat 0 19 1 1 0 0
Tile Plat 2 18 1 1 0 0
Tile Plat 2 19 1 1 0 0
Tile Plat 3 19 1 1 0 0
Tile Plat 4 19 1 1 0 0
Tile Plat 5 19 1 1 0 0
Tile Plat 6 19 1 1 0 0
Tile Plat 7 19 1 1 0 0
Tile Plat 8 19 1 1 0 0
Tile Plat 0 20 1 1 0 0
Tile Plat 0 21 1 1 0 0
Tile Plat 0 22 1 1 0 0
Tile Plat 0 23 1 1 0 0
Tile SpikeUp 17 4 1 1 3 0
Tile SpikeUp 18 4 1 1 3 0
Tile SpikeUp 23 4 1 1 3 0
Tile SpikeUp 24 4 1 1 3 0
Tile Plat 15 10 1 1 0 0
Tile Plat 15 9 1 1 0 0
Tile Plat 14 10 1 1 0 0
Tile Plat 16 10 1 1 0 0
Tile Plat 29 3 1 1 0 0
Tile Plat 30 3 1 1 0 0
Tile Plat 31 3 1 1 0 0
Tile Plat 32 3 1 1 0 0
Tile Plat 33 3 1 1 0 0
Tile Plat 34 3 1 1 0 0
Tile Plat 35 3 1 1 0 0
Tile Plat 36 3 1 1 0 0
Tile Plat 29 11 1 1 0 0
Tile Plat 30 11 1 1 0 0
Tile Plat 31 11 1 1 0 0
Tile Plat 32 11 1 1 0 0
Tile Plat 33 11 1 1 0 0
Tile Plat 34 11 1 1 0 0
Tile Plat 35 11 1 1 0 0
Tile Plat 36 11 1 1 0 0
Tile Plat 37 11 1 1 0 0
Tile Plat 38 11 1 1 0 0
Tile SpikeUp 30 4 1 1 3 0
Tile SpikeUp 31 4 1 1 3 0
Tile SpikeUp 32 4 1 1 3 0
Tile SpikeUp 33 4 1 1 3 0
Tile SpikeUp 34 4 1 1 3 0
Tile SpikeUp 35 4 1 1 3 0
Tile SpikeUp 36 4 1 1 3 0
Tile SpikeUp 19 4 1 1 3 0
Tile SpikeUp 20 4 1 1 3 0
